Date,Timepoint,Week,Round,Chamber,T-PAIN NUBBIN ID
4-Nov,Mid,2,1,1,G065_Poc4_TP_2.1
4-Nov,Mid,2,1,2,G069_Poc4_TP_4.1
4-Nov,Mid,2,1,3,G139_Por2_TP_0.2
4-Nov,Mid,2,1,4,R041_Poc8_TP_0.2
4-Nov,Mid,2,1,5,R042_Poc8_TP_2.3
4-Nov,Mid,2,1,6,R102_Por6_TP_3.2
4-Nov,Mid,2,1,7,R110_Por6_TP_4.3
4-Nov,Mid,2,1,8,R123_Por7_TP_0.3
4-Nov,Mid,2,1,9,BLANK 1
4-Nov,Mid,2,1,10,R125_Por7_TP_4.2
4-Nov,Mid,2,1,11,R126_Por7_TP_2.3
4-Nov,Mid,2,1,12,R179_Por8_TP_0.3
4-Nov,Mid,2,2,1,G031_Poc2_TP_4.2
4-Nov,Mid,2,2,2,G087_Poc5_TP_2.1
4-Nov,Mid,2,2,3,G090_Poc5_TP_4.1
4-Nov,Mid,2,2,4,G093_Poc5_TP_0.3
4-Nov,Mid,2,2,5,BLANK 2
4-Nov,Mid,2,2,6,G137_Por2_TP_4.1
4-Nov,Mid,2,2,7,G155_Por3_TP_4.2
4-Nov,Mid,2,2,8,G182_Por5_TP_0.1
4-Nov,Mid,2,2,9,R008_Poc6_TP_0.2
4-Nov,Mid,2,2,10,R016_Poc6_TP_4.2
4-Nov,Mid,2,2,11,R028_Poc7_TP_2.2
4-Nov,Mid,2,2,12,R108_Por6_TP_0.2
4-Nov,Mid,2,3,1,G030_Poc2_TP_0.1
4-Nov,Mid,2,3,2,G046_Poc3_TP_4.3
4-Nov,Mid,2,3,3,G047_Poc3_TP_2.3
4-Nov,Mid,2,3,4,G071_Poc4_TP_0.2
4-Nov,Mid,2,3,5,G183_Por5_TP_2.1
4-Nov,Mid,2,3,6,G199_Por5_TP_4.1
4-Nov,Mid,2,3,7,R005_Poc6_TP_2.3
4-Nov,Mid,2,3,8,R039_Poc7_TP_4.3
4-Nov,Mid,2,3,9,R047_Poc8_TP_4.3
4-Nov,Mid,2,3,10,R163_Por8_TP_2.1
4-Nov,Mid,2,3,11, Blank 3
4-Nov,Mid,2,3,12,R167_Por8_TP_4.2
5-Nov,Mid,2,4,1,G025_Poc2_TP_2.2
5-Nov,Mid,2,4,2,BLANK 1
5-Nov,Mid,2,4,3,G051_Poc3_TP_0.1
5-Nov,Mid,2,4,4,G136_Por2_TP_2.3
5-Nov,Mid,2,4,5,G150_Por3_TP_0.3
5-Nov,Mid,2,4,6,G160_Por3_TP_2.1
5-Nov,Mid,2,4,7,G165_Por4_TP_0.1
5-Nov,Mid,2,4,8,G170_Por4_TP_2.2
5-Nov,Mid,2,4,9,G171_Por4_TP_4.3
5-Nov,Mid,2,4,10,R032_Poc7_TP_0.3
5-Nov,Mid,2,4,11,Blank 2
5-Nov,Mid,2,4,12,Blank 3
18-Nov,Final,4,1,1,Blank 2
18-Nov,Final,4,1,2,G031_Poc2_TP_4.2
18-Nov,Final,4,1,3,G025_Poc2_TP_2.2
18-Nov,Final,4,1,4,G150_Por3_TP_0.3
18-Nov,Final,4,1,5,G183_Por5_TP_2.1
18-Nov,Final,4,1,6,R126_Por7_TP_2.3
18-Nov,Final,4,1,7,R179_Por8_TP_0.3
18-Nov,Final,4,1,8,R167_Por8_TP_4.2
18-Nov,Final,4,1,9,G071_Poc4_TP_0.2
18-Nov,Final,4,1,10,R123_Por7_TP_0.3
18-Nov,Final,4,1,11,G051_Poc3_TP_0.1
18-Nov,Final,4,1,12,R041_Poc8_TP_0.2
18-Nov,Final,4,2,1,G047_Poc3_TP_2.3
18-Nov,Final,4,2,2,G137_Por2_TP_4.1
18-Nov,Final,4,2,3,BLANK 1
18-Nov,Final,4,2,4,R039_Poc7_TP_4.3
18-Nov,Final,4,2,5,G160_Por3_TP_2.1
18-Nov,Final,4,2,6,G139_Por2_TP_0.2
18-Nov,Final,4,2,7,G069_Poc4_TP_4.1
18-Nov,Final,4,2,8,R110_Por6_TP_4.3
18-Nov,Final,4,2,9,G171_Por4_TP_4.3
18-Nov,Final,4,2,10,R042_Poc8_TP_2.3
18-Nov,Final,4,2,11,G065_Poc4_TP_2.1
18-Nov,Final,4,2,12,G170_Por4_TP_2.2
18-Nov,Final,4,3,1,R108_Por6_TP_0.2
18-Nov,Final,4,3,2,G093_Poc5_TP_0.3
18-Nov,Final,4,3,3,R016_Poc6_TP_4.2
18-Nov,Final,4,3,4,R005_Poc6_TP_2.3
18-Nov,Final,4,3,5,Blank 3
18-Nov,Final,4,3,6,G090_Poc5_TP_4.1
18-Nov,Final,4,3,7,G155_Por3_TP_4.2
18-Nov,Final,4,3,8,G165_Por4_TP_0.1
18-Nov,Final,4,3,9,R163_Por8_TP_2.1
18-Nov,Final,4,3,10,R125_Por7_TP_4.2
18-Nov,Final,4,3,11,G136_Por2_TP_2.3
18-Nov,Final,4,3,12,G182_Por5_TP_0.1
18-Nov,Final,4,4,1,G030_Poc2_TP_0.1
18-Nov,Final,4,4,2,R032_Poc7_TP_0.3
18-Nov,Final,4,4,3,G046_Poc3_TP_4.3
18-Nov,Final,4,4,4,BLANK 1
18-Nov,Final,4,4,5,G199_Por5_TP_4.1
18-Nov,Final,4,4,6,R047_Poc8_TP_4.3
18-Nov,Final,4,4,7,R102_Por6_TP_2.2
18-Nov,Final,4,4,8,R028_Poc7_TP_2.2
18-Nov,Final,4,4,9,BLANK 2
18-Nov,Final,4,4,10,R008_Poc6_TP_0.2
18-Nov,Final,4,4,11,BLANK 3
18-Nov,Final,4,4,12,G087_Poc5_TP_2.1
